French,English
sport,sport
amélioration,improvement
douleur,pain
issue,outcome
généreux,generous
absent,absent
talent,talent
normalement,normally
remarque,remark
détourner,divert
raisonnable,within reason
suprême,supreme
éventuel,possible
blesser,hurt
orientation,orientation
grec,Greek
secondaire,secondary
reporter,report
partisan,supporter
cinquième,fifth
distinction,distinction
impact,impact
magazine,magazine
compléter,complete
mérite,deserved
naturellement,naturally
collaboration,collaboration
procurer,procure
officier,officer
remarquable,outstanding
efforcer,strive
tragique,tragic
anniversaire,anniversary
issu,output
poursuite,pursuit
nôtre,our
éclairer,light up
consommer,consume
infirmier,male nurse
caractéristique,characteristic
dépenser,spend
censé,supposed
fuite,leak
conviction,conviction
nettement,clearly
détenir,to possess
évaluation,Evaluation
installation,facility
innocent,innocent
fameux,famous
cultiver,cultivate
doux,sweet
gouverner,govern
jouir,enjoy
parcourir,Browse
bloc,block
électrique,electric
seuil,threshold
croissant,increasing
classer,to classify
audience,audience
multiple,multiple
minorité,minority
phrase,phrasing
provisoire,tentative
hein,eh
disparition,disappearance
dynamique,dynamic
renverser,to spill
trouble,trouble
désoler,desolate
accélérer,accelerate
littérature,literature
résider,to reside
adolescent,teenager
dessiner,draw
rompre,to break up
agriculture,agriculture
gouverneur,governor
aventure,adventure
armer,arm
volet,shutter
bâtir,to build
prime,prime
résulter,result
occupation,occupation
japonais,Japanese
emmener,bring
alimentaire,eating
lecteur,reader
marin,marine
intermédiaire,intermediate
vœu,wish
dresser,to draw up
conception,design
afficher,pin up
fragile,brittle
satisfaction,satisfaction
survenir,occur
publicité,publicity
arbre,tree
univers,universe
aéroport,airport
sauter,to jump
chasse,hunt
collège,middle school
garantie,guarantee
morceau,piece
salarié,employee
discipline,discipline
explosion,blast
peau,skin
commande,ordered
orienter,orient
reproduire,reproduce
paragraphe,paragraph
radical,radical
transférer,to transfer
diffusion,diffusion
spécialement,especially
croître,grow
tolérer,tolerate
copie,copy
enseigner,teach
rédiger,write
magnifique,magnificent
initial,initial
indice,index
promotion,promotion
branche,plugged
section,section
chanson,song
pair,peer
contraindre,constrain
trancher,to slice
réformiste,reformist
retarder,to delay
réjouir,rejoice
punir,to punish
repartir,divide
cellule,cell
déclencher,trigger
uni,United
connexion,connection
écouler,flow out
option,option
pétrole,oil
laboratoire,laboratory
étrange,odd
coucher,sleep
département,department
génie,genius
profession,occupation
rumeur,rumor
mien,mine
drôle,funny
plat,flat
maman,mom
incertitude,uncertainty
célébrer,to celebrate
dignité,dignity
légitime,legit
philosophie,philosophy
verre,glass
spécifique,specific
docteur,doctor
hausser,rack
fréquence,frequency
urgent,urgent
trou,hole
stratégique,strategic
mental,mental
éditeur,editor
provincial,provincial
casser,to break
probable,likely
signature,signature
forcément,necessarily
conformément,in accordance
croiser,cross
plastique,plastic
autonome,autonomous
héritage,heritage
voyager,to travel
électronique,electronic
parallèle,parallel
répartir,divide
courageux,brave
réveiller,wake
satellite,satellite
ordinateur,computer
fondé,based
blessé,hurt
municipal,municipal
salut,Hi
songer,think
enfance,childhood
là-dessus,on this
merveilleux,wonderful
sien,his
commenter,comment
inciter,encourage
prière,pray
nécessiter,require
urbain,urban
musée,Museum
pluie,rain
précaution,precautionary
anticiper,anticipate
cheval,horse
communiqué,communicated
suicide,suicide
rivière,river
avertir,to warn
rédaction,writing
enceinte,pregnant
substance,substance
soigner,to tend to
récit,narrative
revendication,claim
incroyable,unbelievable
sondage,survey
mineur,minor
composition,composition
débarrasser,rid
accusation,charge
invitation,invitation
présidentiel,presidential
concurrent,competitor
prévu,planned
suisse,Swiss
franchement,frankly
paiement,payment
comparaison,comparison
musulman,Muslim
déplacement,shift
légal,legal
dispositif,device
constitutionnel,constitutional
contrainte,constraint
tarder,delay
refaire,remake
pleurer,cry
débattre,discuss
immigration,immigration
cancer,cancer
lâcher,let go
cercle,circle
génétique,genetic
importation,import
tonne,tonne
dieu,god
référendum,referendum
perdu,lost
obligé,obligatory
visiteur,visitor
remporter,win
rond,round
étage,stage
intense,intense
bébé,baby
amitié,friendship
cinquante,fifty
zéro,zero
drame,drama
visible,visible
haine,hate
instance,instance
cérémonie,ceremony
ambition,ambition
recourir,resort
sanction,sanction
géant,giant
jardin,garden
nourriture,food
engendrer,generate
infrastructure,infrastructure
adversaire,opponent
africain,African
royal,royal
mobile,mobile
significatif,significant
circulation,traffic
cotisation,contribution
entente,agreement
cheveu,hair
ralentir,to slow down
cadeau,present
affirmation,affirmation
requérir,require
destination,destination
stabilité,stability
louer,hire
gars,guys
fleur,flower
agriculteur,farmer
poète,poet
fabrication,manufacturing
vin,wine
soudain,suddenly
balle,ball
inflation,inflation
sec,dry
arrêté,stopped
enfermer,enclose
abattre,tear down
paysan,peasant
transition,transition
humanitaire,humanitarian
répandre,spread
adoption,adoption
adorer,love
appartement,apartment
session,session
entamer,to initiate
ménage,household
purement,purely
enjeu,stakes
passager,passenger
transformation,transformation
calculer,calculate
misère,misery
légèrement,slightly
écraser,to crush
enrichir,enrich
restaurant,restaurant
destin,fate
discrimination,discrimination
certitude,certainty
huile,oil
sacré,sacred
autonomie,autonomy
sac,bag
stock,stock
invoquer,invoke
compromettre,to compromise
arracher,to tear out
sombre,dark
barre,rod
contradiction,contradiction
maîtriser,to master
violer,violate
souveraineté,sovereignty
épargner,save
concentration,concentration
téléphonique,telephone
remise,delivery
mec,guy
solidarité,solidarity
restreindre,restrict
décennie,decade
aussitôt,right away
officiellement,officially
chasser,hunt
dîner,having dinner
personnellement,personally
fréquenter,frequent
projeter,project
littéraire,literary
présider,preside
fortune,fortune
malheureux,unfortunate
numérique,digital
combattant,fighter
soupçonner,suspect
merde,shit
entrepreneur,entrepreneur
exposition,exposure
marchand,trader
cri,shout
féminin,feminine
désert,desert
vêtement,garment
autrefois,in the old days
surmonter,overcome
marchandise,merchandise
autochtone,native
continent,continent
définitivement,definitively
heureusement,fortunately
digne,worthy
guide,guide
tabac,tobacco
rendement,yield
ampleur,extent
pleinement,fully
désastre,disaster
joli,nice
promouvoir,promote
écho,echo
fusion,fusion
innovation,innovation
sélection,selection
confondre,to confuse
honnête,honest
tournant,turning point
automobile,automotive
collectivité,community
record,record
excessif,excessive
ridicule,ridiculous
modalité,modality
paquet,pack
fondation,foundation
terroriste,terrorist
retrait,withdrawal
organe,organ
protocole,protocol
apparition,appearance
gain,gain
écran,screen
sonner,ring
protester,protest
curieux,curious
effacer,wipe off
débuter,start
creuser,dig
allusion,allusion
lancement,launch
porteur,carrier
préalable,prior
programmer,program
traîner,hang out
domicile,residence
oiseau,bird
quarante,forty
sacrifice,sacrifice
barrière,fence
biais,bias
feuille,leaf
délégation,delegation
épuiser,exhaust
champion,champion
librement,freely
congé,leave
taxe,tax
onze,eleven
téléphoner,call
serrer,to squeeze
caractériser,characterize
préparation,preparation
inverse,reverse
intituler,title
possession,possession
rejet,rejection
enseignant,teacher
avérer,prove
papa,dad
collaborateur,collaborater
gêner,embarrass
technicien,technician
cycle,cycle
accumuler,accumulate
sauvage,wild
alcool,alcohol
prétexte,pretext
impressionnant,impressive
scénario,script
électricité,electricity
gratuit,free
révolutionnaire,revolutionary
jambe,leg
insuffisant,insufficient
privilège,privilege
week-end,weekend
équivalent,equivalent
regrouper,gather
invité,guest
militant,activist
participant,participant
blessure,wound
privilégier,favor
midi,midday
disque,disk
couche,lying down
dater,date
habituer,get used to
inévitable,inevitable
recommencer,restart
race,breed
vivement,strongly
beauté,beauty
atmosphère,atmosphere
épaule,shoulder
amoureux,lover
circonscription,constituency
debout,standing
influencer,influence
recul,decline
mortel,mortal
flux,flux
horizon,horizon
délivrer,issue
subvention,grant
formel,formal
aggraver,aggravate
lait,milk
alimenter,feed
intelligent,clever
équilibrer,to balance
bibliothèque,library
absurde,absurd
océan,ocean
quelques-uns,some
dicter,to dictate
tenant,holding
stable,steady
capitaine,captain
solliciter,solicit
convoquer,convene
prévention,prevention
terrestre,earthly
utilisateur,user
obligatoire,obligatory
terminal,terminal
choquer,chock
primaire,primary
vital,vital
destinée,destiny
patrimoine,inheritance
conforme,consistent
adjoint,assistant
ultime,ultimate
intégration,integration
rarement,rarely
couler,to flow
diversité,diversity
amuser,amuse
complémentaire,complementary
satisfaisant,satisfying
accueil,welcome
camion,truck
douloureux,sore
glisser,to glide
prêtre,priest
indication,indication
exagérer,overdo it
décès,death
parisien,Parisian
psychologique,psychological
réviser,revise
profil,profile
rater,to fail
respectif,respective
tranquille,calm
registre,register
contemporain,contemporary
exclusif,exclusive
performance,performance
angle,angle
divorce,divorce
fermeture,closing
affaiblir,weaken
constamment,constantly
horreur,horror
envahir,to invade
pétrolier,tanker
faculté,ability
brillant,bright
pacte,pact
suspect,suspicious
lent,slow
assistance,assistance
négliger,to neglect
injuste,unfair
plaider,argue
récompenser,reward
suppression,deletion
coupure,cut
glace,ice
gare,station
drapeau,flag
réparer,to fix
sensibilité,sensitivity
jaune,yellow
existant,existing
procureur,prosecutor
informatique,computer science
restriction,restriction
pacifique,peaceful
bête,stupid
indicateur,indicator
racine,root
compenser,compensate for
maritime,maritime
gravité,severity
pénétrer,enter
civilisation,civilization
rouler,to roll
technologique,technological
heurter,to hit
football,soccer
décevant,disappointing
législation,legislation
approprier,appropriate
tactique,tactical
thèse,thesis
acceptable,acceptable
surgir,arise
prince,prince
vidéo,video
semer,sow
créateur,Creator
partenariat,partnership
file,line
chômeur,unemployed
correct,correct
cuisine,food
succéder,succeed
royaume,kingdom
rebelle,rebel
provenance,origin
fumer,to smoke
dessin,drawing
viande,meat
paramètre,setting
gré,grateful
dessous,under
voyageur,traveler
réaliste,realistic
condamnation,conviction
similaire,similar
employeur,employer
paysage,landscape
discret,discreet
longueur,length
lentement,slowly
miracle,miracle
déboucher,unclog
illégal,illegal
expansion,expansion
mutuel,mutual
sage,wise
commandement,commandment
correspondant,corresponding
grimper,to climb up
pause,pause
répartition,distribution
sacrifier,sacrifice
chimique,chemical
compétition,competition
combiner,combine
touriste,tourist
ravir,delight
pardon,sorry
filet,net
atomique,atomic
contribuable,taxpayer
progressivement,gradually
progression,progress
nez,nose
antérieur,prior
inacceptable,unacceptable
progressif,progressive
adhésion,membership
portrait,portrait
détailler,to give detail
valable,valid
coordination,coordination
sportif,jock
rose,pink
quête,quest
compromis,compromise
investisseur,investor
présumer,assume
abandon,abandonment
identique,identical
exploser,explode
mensonge,lie
défaite,defeat
meurtrier,murderer
rigoureux,rigorous
mentir,lie
fréquent,frequent
œuf,egg
ambassadeur,ambassador
observateur,observer
revêtir,put on
accessoire,accessory
acquisition,acquisition
tournée,tour
tranche,slice
plage,beach
inspecteur,inspector
tempête,storm
tissu,tissue
souverain,sovereign
distinct,distinct
survie,survival
repousser,repel
adaptation,adaptation
plante,plant
nuire,harm
putain,whore
imagination,imagination
accusé,accused
repérer,spot
directive,directive
rural,rural
persister,persist
coalition,coalition
diplomatique,diplomatic
excellence,Excellency
apparence,appearance
oriental,Oriental
écriture,writing
parcours,journey
républicain,republican
embarquer,embark
révolte,revolt
intéressé,interested
formidable,tremendous
tas,pile
déjeuner,to eat lunch
disputer,argue
élite,elite
malheur,misfortune
aube,dawn
salon,lounge
infliger,inflict
repos,rest
déranger,to bother
inhabituel,unusual
interdiction,prohibition
consentir,consent
variable,variable
médecine,medicine
contradictoire,contradictory
exclusivement,exclusively
cible,target
détenu,held
volontiers,gladly
fauteuil,armchair
couloir,corridor
enthousiasme,enthusiasm
télé,TV
éthique,ethics
révision,revision
pointer,point
assassiner,murder
optimiste,optimistic
instaurer,set up
isolé,isolated
revendiquer,claim
secouer,shake
bizarre,weird
abus,abuse
procédé,process
pêcheur,fisherman
amateur,amateur
regret,regret
accroissement,increase
trimestre,quarter
onde,wave
spatial,spatial
brut,raw
éventuellement,"Most often is ""possibly"""
vache,cow
gris,Grey
aise,easy
agression,assault
loisir,leisure
chaleur,heat
ranger,tidy
partage,share
étoile,star
mystère,mystery
quasi,almost
description,description
serbe,Serbian
biologique,organic
universitaire,university
emparer,take over
dent,tooth
neutre,neutral
aîné,elder
trahir,to betray
intelligence,intelligence
admirer,to admire
licence,Licence
rigueur,rigor
maternel,maternal
métal,metal
palais,palace
belge,Belgian
brutal,brutal
extraire,extract
signification,meaning
filer,spin
automatique,automatique
accrocher,hang
pain,bread
plateau,tray
répétition,repetition
diminution,decrease
collection,collection
gène,embarrassed
permanence,permanence
reine,queen
privatisation,privatization
correspondance,correspondence
planter,plant
strictement,strictly
violation,breach
compensation,compensation
lycée,high school
con,stupid
combinaison,combination
injustice,injustice
reportage,report
déception,disappointment
soucier,worry
plafond,ceiling
opérateur,operator
camarade,comrade
traduction,translation
compréhension,comprehension
réglementation,regulations
déplorer,deplore
mobiliser,mobilize
encadrer,supervise
gentil,kindly
folie,madness
terrorisme,terrorism
illusion,illusion
portefeuille,wallet
séduire,seduce
précipiter,precipitate
clôture,fence
piloter,pilot
agréable,pleasant
télécommunication,telecommunication
désaccord,disagreement
uranium,uranium
aliment,food
alimentation,food
pomme,apple
ingénieur,engineer
vider,empty
attentif,attentive
démarrer,to start up
coordonner,to coordinate
larme,tear
sourd,deaf
cigarette,cigarette
vallée,valley
artificiel,artificial
différer,to differ
honorer,to honour
entrevue,interview
ressort,spring
fixe,fixed
opportunité,opportunity
robe,dress
plaque,plate
découler,result
décisif,decisive
piège,trap
prédire,to predict
enterrer,bury
refuge,refuge
recouvrir,cover
pente,slope
album,album
mixte,mixed
clinique,clinical
spectateur,spectator
axe,axis
chasseur,hunter
chéri,dear
peinture,painting
déchet,waste
siéger,sit
grand-chose,great
temporaire,temporary
affiche,attach
massacre,massacre
actualité,news
redevenir,become again
crucial,crucial
marine,Marine
cadavre,corpse
fleuve,River
toit,roof
mécanique,mechanical
transparence,transparency
amorcer,start
détester,to hate
fondateur,founder
charte,charter
productivité,productivity
succession,succession
simplifier,simplify
briller,shine
ambitieux,ambitious
sale,dirty
consentement,consent
chapeau,hat
calmer,calm
mythe,myth
alternative,alternative
soulager,relieve
scrutin,ballot
culpabilité,guilt
considérablement,considerably
bouleverser,upset
introduction,introduction
dramatique,dramatic
vaincre,overcome
pétition,petition
renseigner,to inform
ordonnance,order
aile,wing
température,temperature
coupe,chopped off
rayon,Ray
lèvre,lip
promener,to take a walk
boulot,gig
correctement,properly
colonne,column
arranger,arrange
lointain,distant
danser,to dance
charbon,coal
passionner,passionate
colline,hill
poésie,poetry
généraliser,generalize
transaction,transaction
extrémité,end
pénal,criminal
économiste,economist
banlieue,suburb
bancaire,banking
défaire,to do
calendrier,schedule
repas,meal
cul,ass
vouer,dedicate
surprenant,surprising
paradis,heaven
transparent,transparent
élu,elected
tourisme,tourism
démonstration,demonstration
gravement,seriously
infraction,offense
tir,shot
envoi,mail
arrangement,arrangement
pardonner,to forgive
collaborer,work out
danse,dance
tester,test
proclamer,proclaim
genou,knee
dominant,dominant
péril,Danger
préférence,preference
vain,vain
rentrée,back to school
coller,to stick on
monopole,monopoly
approfondir,deepen
incendie,fire
proximité,proximity
hélicoptère,helicopter
bouteille,bottle
championnat,championship
hériter,to inherit
élémentaire,elementary
entité,entity
souffler,to blow
dit,said
mélange,mixed
pourcentage,percentage
permis,permit
mélanger,to mix together
proprement,properly
enfoncer,to press in
clandestin,clandestine
super,Great
encontre,against
syndical,union
deviner,to guess
tracer,trace
sagesse,wisdom
baiser,kiss
user,use
