German,English
Aufmerksamkeit,attention
Berechnung,calculation
gegenseitig,mutual
kurzfristig,in the short term
Stufe,Step
Urteil,Verdict
primär,primary
Schnee,snow
vollkommen,completely
England,England
massiv,solid
sämtlich,all
übersetzen,to translate
dringend,urgently
verursachen,cause
Konkurrenz,competitor
Muskel,muscle
Test,test
Süden,south
super,great
ökonomisch,economically
Erzählung,narrative
Initiative,initiative
Flugzeug,airplane
Desoxyribonukleinsäure,Desoxyribonucleic acid
Flüssigkeit,liquid
Geburtstag,birthday
Kleid,a dress
zeitlich,temporary
Ball,ball
Brust,Breast
elektronisch,electronic
verabschieden,saying goodbye
ausdrücken,to express
Detail,detail
demokratisch,democratically
Variable,variable
Fleisch,meat
körperlich,physically
Liste,list
träumen,dream
Volumen,volume
zugeben,admit
ah,ah
Drittel,one-third
akzeptieren,accept
endgültig,finally
ewig,eternal
Perspektive,perspective
Restaurant,restaurant
wandern,hike
Tasche,pocket
vornehmen,make
Beamte,Officer
orientieren,orientate
schmal,narrow
Streit,dispute
spannend,exciting
wohin,where
Dach,roof
Karriere,Career
regeln,regulate
insofern,in that
Zigarette,Cigarette
bunt,multicoloured
Falle,Cases
verbreiten,spread
Auswirkung,impact
einander,each other
weshalb,for what reason
Unterricht,instruction
Bedürfnis,Requirement
Niveau,level
Tante,aunt
Prüfung,test
mitbringen,bring along
seltsam,strange
Gen,gene
engagieren,engage
Onkel,uncle
soweit,so far
mächtig,powerful
ausgerechnet,of all things
zweimal,twice
Störung,Disturbance
Aktion,action
#NAME?,#NAME?
künstlich,artificially
Auseinandersetzung,confrontation
pflegen,care for
Ausgabe,output
online,on-line
ableiten,derive
etc.,Etc.
leuchten,to shine
Anlage,attachment
erweitern,expand
erweisen,prove
Gesundheit,Health
zutreffen,hold true
aufführen,list
Kandidat,candidate
profitieren,benefit
Rechnung,invoice
Übergang,crossing
zusammenfassen,sum up
beeindrucken,impress
einnehmen,take in
Loch,Hole
Management,management
schwimmen,swim
Erwartung,Expectation
beantworten,respond
Beweis,proof
Weltkrieg,World War II
kompliziert,complicated
Stirn,Forehead
Behandlung,treatment
Zahn,Tooth
aussprechen,express
beliebt,popular
Eis,Ice
komisch,funny
westlich,west
geistig,mentally
Länge,length
unmöglich,not possible
optimal,optimal
Wetter,weather
ergänzen,complete
voneinander,from each other
auswählen,choose
befragen,consult
rücken,move
Anwalt,attorney
dahinter,behind it
Stärke,Strength
Ironie,irony
Ansicht,Opinion
Aktiengesellschaft,Stock corporation
ausbilden,form
empirisch,empirically
Kombination,combination
Ermittlung,detection
Gedicht,poem
unterhalten,to chat
Hochschule,University
Umsetzung,implementation
Engagement,engagement
erschrecken,frighten
erwerben,acquire
Wesen,Beings
parallel,parallel
hierbei,here
Schloss,lock
steuern,Taxes
Wunder,Wonder
Abschluss,Diploma
irgendwelche,any
korrekt,correctly
Vorsitzende,Chairman
verraten,betray
anpassen,to adjust
automatisch,automatically
Physik,physics
Erkrankung,illness
spanisch,Spanish
Teilnehmer,participant
Veranstaltung,event
vorhaben,project
verbergen,hide
aha,Aha
malen,to paint
Post,post Office
Seele,Soul
üben,practice
August,August
Knochen,Bone
Geräusch,noise
Gegenwart,Present
generell,As a general rule
Aminosäure,amino acid
Marketing,marketing
Phänomen,phenomenon
Russe,Russian
Brücke,Bridge
daneben,Besides
Gewicht,weight
beruhigen,calm
ansonsten,otherwise
verrückt,crazy
versorgen,supply
laden,load
Start,begin
wagen,dare
weiblich,Female
seitdem,since
Treppe,Stairs
Decke,ceiling
Einstellung,setting
heiraten,marry
mittels,by means of
Unfall,accident
Bestandteil,component
Regen,Rain
entschuldigen,apologize
Fisch,Fish
Medizin,medicine
Schicksal,fate
aufgehen,rise up
Video,Video
zugehen,approach
durchschnittlich,average
Strand,Beach
Zins,interest
bewerten,evaluate
bezüglich,in terms of
begeistern,inspire
Ladung,charge
äußerst,extremely
lustig,fun
potenziell,potentially
Dichter,poet
Religion,religion
religiös,religious
nackt,naked
Ware,Would
beruflich,professional
lokal,local
Standard,default
Kanzler,Chancellor
nochmal,once again
auflösen,dissolve
aufregen,excite
Abhängigkeit,Dependency
Einrichtung,furnishings
vereinigen,unite
vereinbaren,arrange
verschieben,move
bewirken,cause
Bundesland,Federal State
erleichtern,facilitate
Institution,institution
rechtlich,legally
Viertel,Quarter
Dimension,dimension
Ei,egg
müde,weary
sparen,save
quasi,so to say
Wiener,Viennese
blöd,stupid
Soziologie,sociology
tätig,active
Afghanistan,Afghanistan
Flucht,Escape
absehen,foresee
Afrika,Africa
regional,regional
strategisch,strategically
exakt,exactly
fortsetzen,continue
steigern,increase
Übersetzung,translation
womöglich,possibly
Argument,argument
berühren,touch
Kino,movie theater
Dauer,duration
klappen,Valves
Polen,Poland
golden,golden
klären,clear up
sauber,clean
Bahnhof,train station
Bewertung,valuation
Messung,Measurement
gewaltig,immense
relevant,relevant
Israel,Israel
Lippe,lip
Bundesrepublik,Federal Republic
Charakter,character
antreten,compete
Lehre,Teach
aufpassen,watch out
Verletzung,injury
Christlich-Soziale Union,Christian Social Union
Direktor,director
enttäuschen,disappoint
fangen,catch
Träne,tear
damalig,at the time
dreißig,thirty
mathematisch,mathematically
Pflicht,duty
realisieren,realize
einrichten,furnish
Käufer,Buyer
Rennen,Run
Täter,Perpetrator
befreien,to free
ordnen,put in order
Bezeichnung,designation
verteidigen,defend
Anlass,Reason
medial,medial
hauptsächlich,mainly
Hersteller,Manufacturer
normalerweise,usually
Motiv,motive
Auswahl,selection
markieren,to mark
mehrfach,multiple
Rang,rank
rennen,run
herausfinden,find out
nahezu,nearly
benennen,to name
Schrift,Writing
Silbe,syllable
Anstieg,rise
Kurve,Curve
Auftritt,Appearance
integrieren,integrate
Saga,saga
anmelden,Sign in
gerecht,just
unendlich,infinite
Bundestag,Bundestag
literarisch,literary
Bewusstsein,consciousness
Stiftung,"Foundation, endowment"
Erhöhung,increase
GmbH,GmbH
ungewöhnlich,unusual
Fest,Fixed
Anforderung,requirement
männlich,male
Training,training
vorgehen,Action
Arbeitslosigkeit,unemployment
Brot,bread
Geburt,birth
Hunger,hunger
jüdisch,Jewish
Umfeld,Surroundings
allzu,too
Graf,Graf
Indien,India
lohnen,be worthwhile
optisch,optically
militärisch,military
Mühe,effort
unterbrechen,interrupt
grundlegend,fundamental
Boot,boat
Dutzend,dozen
zurückziehen,withdraw
klopfen,beat
nachweisen,prove
Wolke,Cloud
aufmachen,open
kennzeichnen,mark
Jugend,youth
wundern,be surprised
Interpretation,interpretation
Leber,liver
Stellung,position
aufheben,lift
Belastung,burden
heilig,holy
Umfang,Scope
Beobachtung,observation
erfinden,invent
erfordern,require
Gebrauch,use
Landtag,Parliament
Verkehr,Traffic
aufhalten,stop
schneiden,to cut
Kauf,purchase
Öl,oil
Betrag,amount
herauskommen,come out
Fahrrad,bicycle
Koordination,coordination
Nutzung,use
Park,park
resultieren,result
schmecken,taste
starren,stare
verpassen,miss
vorwerfen,accuse
Bauch,belly
Verkauf,sale
Vorbereitung,preparation
ausrichten,align
rühren,stir
Trend,trend
aktivieren,activate
Mechanismus,mechanism
Nutzen,To use
Hose,trousers
lügen,lying
ansetzen,set up
arabisch,Arabic
mischen,Mix
beruhen,be based
Japan,Japan
City,City
Klausur,Exam
innen,Inside
Membran,membrane
Metall,metal
Netzwerk,network
systematisch,systematic
Technologie,technology
Trennung,separation
E-Mail,e-mail
mitmachen,participate
Manager,Manager
Oma,granny
Umfrage,opinion poll
Operation,surgery
Probe,sample
bedienen,serve
Mut,courage
nachhaltig,consistent
zusehen,watch
bevorzugen,to prefer
hierzu,For this
Fischer,Fisherman
Ruf,Call
Überlegung,consideration
Begegnung,encounter
Schlag,Punch
daraufhin,thereupon
Handlung,Plot
Marke,brand
angreifen,attack
finanzieren,finance
freilich,of course
Hinsicht,Respect
Schlüssel,key
deuten,interpret
glatt,smooth
schrecklich,dreadful
weich,soft
Klinik,clinic
bedeutend,significant
Organ,organ
besprechen,discuss
Oberfläche,surface
Standort,Location
Zufall,Coincidence
Armee,army
kräftig,powerful
Nerv,nerve
Niederlage,defeat
Termin,meeting
angenehm,pleasant
Synthese,synthesis
Drama,drama
Konsum,consumption
Vorschrift,Regulation
winzig,tiny
Flug,Flight
Holz,wood
künstlerisch,artistic
Förderung,financial support
Impuls,pulse
Planung,planning
Verdacht,Suspicion
vorgeben,pretend
Witz,Joke
aufmerksam,attentive
Mangel,defect
ausführen,To run
analog,analogue
befürchten,fear
hinsichtlich,regarding
Katze,Cat
äußere,outer
Halle,Hall
Häufigkeit,frequency
Kapital,capital
Revolution,revolution
zuordnen,assign to
aussetzen,expose
Lohn,Salary
Vermögen,Assets
Verwaltung,administration
zumal,especially since
Kohlenstoffdioxid,carbon dioxide
ordentlich,orderly
stoppen,to stop
Bundeskanzler,Chancellor
Rat,advice
Bewohner,Resident
gewöhnlich,usually
großartig,Great
trainieren,work out
Variante,variant
Medikament,drug
Ring,ring
beliebig,any
Handelsgesetzbuch,Commercial Code
versetzen,offset
verurteilen,judged
Vorjahr,Previous year
gezielt,targeted
Kommune,Municipality
Mord,murder
extern,external
Partie,Game
stetig,steadily
dumm,dumb
erwidern,return
Identität,identity
Stock,floor
Gefäß,vessel
atmen,to breathe
Milch,milk
Tiefe,depth
unternehmen,Companies
moralisch,morally
selbe,same
stärken,strengthen
Millimeter,millimeter
Freie Demokratische Partei,Free Democratic Party
Konsument,consumer
Reform,reform
Richter,Judge
verwandeln,transform
streiten,fight
widmen,dedicate
bereitstellen,provide
hinterlassen,leave behind
analysieren,analyze
Gipfel,summit
Nachteil,Disadvantage
versus,versus
vertraut,trusted
Baby,infant
Sitzung,meeting
sportlich,athletic
Wärme,warmth
eventuell,possible
Gemeinschaft,Community
kennenlernen,to get to know
Unternehmer,Entrepreneur
Dienstleistung,service
intern,internally
Investor,investor
Periode,period
schriftlich,written
genetisch,genetically
Einwohner,resident
testen,testing
umgeben,surround
lebendig,lively
waschen,to wash
Hormon,hormone
Lebensmittel,groceries
Zeile,Line
belasten,burden
braun,brown
Ehe,Before
Passagier,passenger
Kindheit,childhood
Ungarn,Hungary
Verbraucher,consumer
Vielfalt,diversity
Entschuldigung,Excuse me
flüstern,whisper
geradezu,almost
Koalition,coalition
Mischung,mixture
zukünftig,future
erledigen,take care of
Existenz,existence
Geruch,Odor
herkommen,come here
Sitz,Seat
Serie,series
ahnen,guess
Entfernung,distance
stützen,support
Wahrnehmung,perception
Liga,league
Schlaf,Sleep
einschränken,restrict
Kette,Chain
Säure,acid
Strafe,penalty
Franzose,Frenchman
Konzert,concert
Kontext,context
Transport,transport
abbauen,dismantle
anregen,encourage
aufwachsen,grow up
beherrschen,command
Island,Iceland
Kreuz,Cross
Motor,engine
Sendung,Broadcast
Aktie,share
höchstens,at most
trocken,dry
Ukraine,Ukraine
Wechselwirkung,interaction
Bibliothek,Library
ebenda,ibid.
hoffentlich,hopefully
Erwachsene,adult
Weltmeisterschaft,World Championship
zurückführen,trace back
Bruttoinlandsprodukt,gross domestic product
friedlich,peaceful
Verkäufer,salesperson
vernünftig,reasonable
Matrix,matrix
abholen,collect
gegenwärtig,currently
Organismus,organism
Ressource,resource
trauen,trust
Vorbild,example
vorlegen,present
wahnsinnig,insane
erstaunlich,amazing
grinsen,grin
Koffer,suitcase
emotional,emotionally
erstellen,create
fünfzig,fifty
Kugel,Bullet
Rad,wheel
ausbauen,Remove
anzeigen,Show
Schwerpunkt,main emphasis
Überzeugung,conviction
Ableitung,Derivation
aussteigen,exit
Chromosom,chromosome
vergleichbar,comparable
anhören,listen to
Tonne,ton
verleihen,to lend
Arbeiter,Worker
Bord,Board
entspannen,relax
kürzlich,recently
beurteilen,judge
raten,guess
Schnitt,cut
wertvoll,valuable
Erzähler,teller
Gold,gold
umstritten,controversial
aufsteigen,rising up
biologisch,biological
vielfältig,diverse
wirksam,effective
überlassen,leave
identifizieren,identify
Mittelwert,Average
Stil,style
Atmosphäre,the atmosphere
Beschäftigung,occupation
hinzufügen,Add
indirekt,indirect
Zeitraum,Period
aufkommen,come up
Plus,plus
Schwingung,vibration
Vektor,vector
Sauerstoff,oxygen
Äußerung,Statement
ausziehen,take off
Gewerkschaft,labor union
Tourismus,tourism
flach,flat
transportieren,transport
einheimisch,indigenous
Winkel,angle
sauer,angry
vermissen,miss
Geschlecht,gender
attraktiv,attractive
Aussicht,outlook
Betriebswirtschaftslehre,Business administration
Held,hero
sechzig,sixty
Base,base
Bilanz,Balance sheet
Geheimnis,secret
spätestens,no later than
dramatisch,dramatic
Ehre,Honor
entschließen,decide
gewöhnen,get used to
hingehen,go there
zittern,tremble
Dialog,dialog
Schuss,shot
Seminar,seminar
Werbung,advertising
Blume,flower
Schreibtisch,writing desk
verlieben,falling in love
winken,wave
fliehen,escape
interpretieren,interpret
olympisch,Olympic
verdammt,Damn
anerkennen,recognize
bewahren,maintain
illegal,illegal
Sand,sand
umbringen,kill
Fraktion,fraction
Gesellschafter,Partner
Schweden,Sweden
Verbesserung,improvement
worauf,whereupon
einsam,lonely
Innovation,innovation
Landwirtschaft,Agriculture
Therapie,therapy
Ablauf,process
anstehen,queue
Bemerkung,comment
Frankfurter,Frankfurter
identisch,identical
rollen,roll
Angehörige,Relative
Café,Coffee shop
dauerhaft,continuous
garantieren,to guarantee
Not,Need
räumlich,spatial
jahrelang,for years
Respekt,respect
gefährden,endanger
Spektrum,spectrum
vergeben,forgive
Weber,Weber
effektiv,effectively
Eingang,Entry
Erbe,heritage
islamisch,Islamic
zustimmen,agree
radikal,radical
Ausbau,expansion
Kanal,channel
registrieren,to register
verhandeln,negotiate
Wandel,change
Ast,branch
ausüben,exercise
jenseits,beyond
unterliegen,be subject
Wähler,Voter
willkommen,welcome
Gedächtnis,memory
gelegentlich,occasionally
bedürfen,require
Gefängnis,prison
Überraschung,surprise
Wechsel,Change
Wurzel,root
formal,formally
sanft,soft
aushalten,endure
bedrohen,threaten
keineswegs,in no way
klug,Smart
Arbeitnehmer,Employee
beugen,bend
einbringen,bring in
Materie,matter
Personal,staff
scheinbar,seemingly
Frequenz,frequency
lehren,to teach
selbstständig,self-employed
überwinden,overcome
unklar,not clear
verfügbar,accessible
wozu,what for
schlicht,simple
angemessen,appropriate
Arbeitsmarkt,labour market
Pass,passport
Bedarf,Requirement
ernsthaft,serious
werben,advertise
errichten,build up
Kredit,credit
Wohnzimmer,living room
Kompetenz,competence
Leitung,Management
strahlen,ray
Zucker,sugar
Austausch,Exchange
gleichen,resemble
Station,station
Kaiser,Emperor
sperren,lock out
Sportler,athlete
Differenz,difference
Fakt,fact
Herstellung,Production
Individuum,individual
Symbol,symbol
ausbreiten,spread
Versorgung,care
Kommentar,comment
kontinuierlich,continually
Radio,radio
Münchner,Munich
Musiker,Musician
wecken,wake up
ansteigen,increase
Rückkehr,return
auszeichnen,distinguish
Bar,bar
Betrachtung,Consideration
Kommission,Commission
Star,star
wütend,furious
christlich,Christian
Hamburger,hamburger
Leiche,Corpse
nochmals,again
wehren,defend
Abbau,Dismantling
Staatsanwaltschaft,Public prosecutor
Freizeit,leisure time
Geschenk,gift
hübsch,pretty
Moslem,Muslim
spontan,spontaneous
dorthin,there
Frühstück,breakfast
klettern,climb
Mittelpunkt,Focus
bereiten,prepare
Entstehung,Creation
konservativ,conservative
Magen,stomach
psychisch,mentally
Salz,Salt
siebzig,seventy
versichern,assure
Brite,Briton
erkennbar,recognizable
namens,called
Achse,axis
klingeln,ring
speichern,to save
Tee,tea
Zeuge,witness
Aufwand,expenditure
Kooperation,cooperation
Kritiker,critic
Tal,valley
derartig,such
Erste,First
vielfach,in many cases
empfangen,receive
Ernährung,nutrition
Küste,coast
mitkommen,come along
Republik,republic
zucken,pull out
anschließen,connect
austauschen,exchange
beschleunigen,accelerate
Norm,standard
anstellen,set up
decken,cover
grob,rough
Protest,protest
Tour,trip
Überblick,overview
Geschäftsführer,managing Director
Griff,Handle
küssen,kiss
Liter,liter
Subjekt,subject
Außenminister,Foreign Minister
Faser,fiber
Schatz,treasure
sekundär,secondary
Zentralbank,Central bank
Alte,Old
Angestellte,employee
dankbar,thankful
faszinieren,fascinate
Flur,corridor
Hemd,shirt
inhaltlich,in terms of content
Begründung,Reason
dreimal,3 times
momentan,currently
zögern,hesitate
derart,in such a way
kreativ,creative
einziehen,move in
Ausmaß,extent
Feind,Enemy
verbrennen,burn
Vorstand,board of directors
Atem,breath
Distanz,distance
Händler,Dealer
hassen,to hate
Muster,sample
ausführlich,detailed
bedenken,concerns
Terror,terror
Verfassung,Constitution
blind,blind
einschlafen,fall asleep
Flüchtlingskrise,Refugee crisis
Ärger,aggravation
allmählich,gradually
Führer,Leader
Vitamin,vitamin
Abschied,Taking leave
Hafen,harbor
Niere,kidney
abbilden,depict
Rezeptor,receptor
etablieren,establish
Messer,knife
teils,part
Brasilien,Brazil
ergreifen,seize
Grundgesetz,Basic Law
Herkunft,origin
hinausgehen,go out
Katastrophe,catastrophe
lehnen,lean
beraten,advise
bürgerlich,civil
Erlebnis,Adventure
nachher,later
übergehen,pass
Wut,Fury
aufrufen,call up
quer,cross
Kapitän,captain
zusammenhängen,context
Ausländer,Foreigner
Beschäftigte,Employee
Bundesliga,Bundesliga
nähern,approach
übel,bad
Ufer,Riverbank
Dichte,density
ehe,marriage
Strahlung,radiation
Virus,virus
Kontinent,continent
Milligramm,milligram
schwedisch,Swedish
sexuell,sexually
hierher,here
ironisch,ironic
Sprung,Leap
vorerst,for now
experimentell,experimental
kühl,cool
Maler,painter
Opposition,opposition
Saal,room
syrisch,Syrian
Grundsatz,principle
loben,praise
Zustimmung,approval
Absicht,intention
Adresse,address
Akzent,accent
verlängern,extend
Nahrung,food
niederländisch,Dutch
Planet,planet
Stress,stress
vermeintlich,alleged
zusammenarbeiten,work together
Parameter,parameter
steil,steep
Europäer,European
heimisch,native
interkulturell,intercultural
Stille,silence
Bildschirm,Screen
erwischen,catch
Proton,proton
Schweizer,Swiss
unheimlich,creepy
magnetisch,magnetic
versehen,Mistake
Beteiligung,participation
Frühjahr,spring
Hut,cap
Medium,medium
Verpflichtung,Obligation
Abteilung,department
alternativ,alternative
Mittag,Midday
befassen,deal with
Finale,final
gewähren,grant
aussagen,statement
Tendenz,tendency
Terrorist,terrorist
jemals,ever
Opa,Grandpa
arbeitslos,unemployed
Auswertung,Evaluation
Gras,grass
logisch,logical
Nachfolger,successor
verzweifeln,despair
bewältigen,get over
Emotion,emotion
Armut,Poverty
Australien,Australia
klagen,complain
schade,what a shame
Scheibe,disc
verbleiben,remain
Widerspruch,Objection
dastehen,stand up
nervös,nervous
regieren,govern
Regisseur,Director
süß,Sweet
Villa,villa
weh,sore
entlassen,fire
Presse,Press
womit,by which
abstimmen,vote
fair,fair
hervorragend,terrific
umfangreich,extensive
Europäische Zentralbank,European Central Bank
Infrastruktur,Infrastructure
Konkurrent,competitor
Party,party
Wellenlänge,wavelength
Anhänger,follower
betrieblich,operational
Finanzierung,financing
Inflation,inflation
murmeln,mumble
Plattform,platform
dominieren,dominate
einräumen,grant
herausstellen,turn out
Kleidung,Clothing
vereinen,unite
Bundesrat,Federal Council
abbrechen,abort
Aufklärung,enlightenment
auskommen,get out
denkbar,conceivable
Fernseher,TV
Italiener,Italian
mangeln,lack
Schönheit,beauty
verarbeiten,process
verkünden,proclaim
Dänemark,Denmark
dazwischen,between
einsteigen,enter
Tibet,Tibet
Webseite,website
widersprechen,contradict
Besitzer,Owner
japanisch,Japanese
ärgern,annoy
Persönlichkeit,personality
Truppe,Troop
ausdrücklich,expressly
Einschätzung,assessment
funktionell,functional
Gewebe,tissue
Resultat,result
Verwandte,Relative
Anordnung,arrangement
aufwachen,awaken
Kasse,Cash
Schulden,debts
Hinblick,Forthrough
Last,load
Zuhause,At home
einheitlich,uniformly
fünfzehn,fifteen
überschreiten,exceed
Version,version
Zunge,Tongue
dänisch,Danish
Einladung,invitation
Vielzahl,Variety
Arbeitgeber,employer
Höhle,cave
Lücke,gap
mehrmals,multiple times
subjektiv,subjective
unangenehm,unpleasant
Wirtschaftsforum,Economic forum
Angelegenheit,matter
charakteristisch,characteristic
Einnahme,Taking
Islam,Islam
basieren,base
einkaufen,shop
eintragen,enter
Vortrag,lecture
Zelt,tent
zusammensetzen,put together
bedanken,thank
Brille,glasses
Sammlung,collection
verschließen,close
Entwurf,draft
seither,since
ansagen,announce
hemmen,inhibit
Intelligenz,intelligence
senkrecht,perpendicular
dringen,penetrate
Migrant,Migrant
probieren,try out
Turnier,competition
verschaffen,provide
Volkswirtschaft,National economy
bearbeiten,to edit
flexibel,flexible
hierfür,therefor
mobil,mobile
Übersetzer,translator
wodurch,through which
zusagen,accept
Buchstabe,Letter
verdanken,owe
vierzig,Fourty
Vordergrund,foreground
Reiz,Stimulus
verständlich,understandable
Wahlkampf,Election campaign
flüssig,fluid
Sturm,Storm
Akteur,Actor
entnehmen,remove
räumen,clear
konsequent,consequent
bekämpfen,fight
Gehalt,salary
indes,however
Motto,motto
Philosophie,philosophy
Sender,Channel
Talent,talent
extra,extra
Fleck,spot
fressen,wolf down
Klage,legal action
anfangs,at first
Beratung,advisory
Gestaltung,layout
katholisch,Catholic
merkwürdig,unusual
bedecken,cover
Kuh,Cow
verknüpfen,link
Vorgehen,Proceed
drüben,over there
erschießen,shoot
Nutzer,User
Stabilität,stability
verringern,to decrease
juristisch,legal
peinlich,awkward
Anstrengung,effort
Nationalsozialist,National Socialist
rechtfertigen,justify
Zitat,Citation
Anpassung,adjustment
kaputt,broken
Menschheit,mankind
Note,grade
seufzen,sigh
Achtung,danger
ausgleichen,compensate
Pilot,pilot
Vereinbarung,agreement
aufbrechen,set out
Labor,laboratory
voraussetzen,assume
divers,diverse
Höhepunkt,Climax
Wiese,Meadow
Anerkennung,recognition
ausgeprägt,pronounced
Autobahn,Freeway
Formulierung,formulation
Berücksichtigung,Consideration
dementsprechend,accordingly
Schreck,Fright
Weihnachten,Christmas
Anschluss,connection
entziehen,revoke
Reduktion,reduction
Schwein,Pig
Komplex,complex
sofern,provided
anstreben,strive for
beklagen,complain
einigen,agree
Freundschaft,Friendship
Hütte,hut
Mantel,a coat
Prognose,forecast
zugehörig,belonging
analytisch,analytically
Anliegen,Issue
locker,relaxed
sonstig,other
abwarten,wait
bitter,bitter
permanent,permanent
Abkommen,agreement
Abstimmung,poll
Geschmack,taste
nachfolgen,follow
neigen,tend
Rente,pension
Taxi,taxi
vorhin,earlier
